,Transcript,Topic,Sentiment,Program
0,6,bill,0.5333909090909091,Fox News Network INGRAHAM ANGLE
1,6,people,0.4433842105263158,Fox News Network INGRAHAM ANGLE
2,6,think,0.31652,Fox News Network INGRAHAM ANGLE
3,6,virus,0.42288518518518525,Fox News Network INGRAHAM ANGLE
4,6,today,0.57475,Fox News Network INGRAHAM ANGLE
5,6,thank,0.669595238095238,Fox News Network INGRAHAM ANGLE
6,6,right,0.6333157894736843,Fox News Network INGRAHAM ANGLE
7,6,week,0.44027894736842105,Fox News Network INGRAHAM ANGLE
8,6,tonight,0.6885071428571429,Fox News Network INGRAHAM ANGLE
9,6,state,0.63206875,Fox News Network INGRAHAM ANGLE
10,6,president,0.5484230769230769,Fox News Network INGRAHAM ANGLE
11,6,want,0.5426562500000001,Fox News Network INGRAHAM ANGLE
12,6,dr.,0.5170727272727272,Fox News Network INGRAHAM ANGLE
13,6,time,0.65212,Fox News Network INGRAHAM ANGLE
14,6,care,0.3589214285714286,Fox News Network INGRAHAM ANGLE
15,14,president,0.6145538461538461,Fox News Network THE FIVE
16,14,think,0.42300399999999994,Fox News Network THE FIVE
17,14,people,0.5233606060606061,Fox News Network THE FIVE
18,14,right,0.396196,Fox News Network THE FIVE
19,14,cases,0.5599285714285713,Fox News Network THE FIVE
20,14,health,0.6083866666666666,Fox News Network THE FIVE
21,14,vice,0.7784375,Fox News Network THE FIVE
22,14,dr.,0.6395714285714286,Fox News Network THE FIVE
23,14,coronavirus,0.53162,Fox News Network THE FIVE
24,14,today,0.3378818181818181,Fox News Network THE FIVE
25,14,risk,0.2732125,Fox News Network THE FIVE
26,14,state,0.571431818181818,Fox News Network THE FIVE
27,14,want,0.7062599999999998,Fox News Network THE FIVE
28,14,travel,0.45459000000000005,Fox News Network THE FIVE
29,14,trump,0.4848999999999999,Fox News Network THE FIVE
30,22,people,0.22282692307692312,Fox News Network THE STORY WITH MARTHA MACCALLUM
31,22,think,0.12524583333333336,Fox News Network THE STORY WITH MARTHA MACCALLUM
32,22,thank,0.6533434782608696,Fox News Network THE STORY WITH MARTHA MACCALLUM
33,22,need,0.3070928571428571,Fox News Network THE STORY WITH MARTHA MACCALLUM
34,22,want,0.20975882352941178,Fox News Network THE STORY WITH MARTHA MACCALLUM
35,22,look,0.41990588235294124,Fox News Network THE STORY WITH MARTHA MACCALLUM
36,22,right,0.1775294117647059,Fox News Network THE STORY WITH MARTHA MACCALLUM
37,22,tonight,0.559076923076923,Fox News Network THE STORY WITH MARTHA MACCALLUM
38,22,president,0.5013692307692309,Fox News Network THE STORY WITH MARTHA MACCALLUM
39,22,state,0.33536875,Fox News Network THE STORY WITH MARTHA MACCALLUM
40,22,yes,0.6772111111111111,Fox News Network THE STORY WITH MARTHA MACCALLUM
41,22,lot,0.32555000000000006,Fox News Network THE STORY WITH MARTHA MACCALLUM
42,22,week,0.24758000000000002,Fox News Network THE STORY WITH MARTHA MACCALLUM
43,22,martha,0.249,Fox News Network THE STORY WITH MARTHA MACCALLUM
44,22,time,0.7101454545454545,Fox News Network THE STORY WITH MARTHA MACCALLUM
45,74,people,0.04511249999999998,Fox News Network TUCKER CARLSON TONIGHT
46,74,think,0.005929629629629622,Fox News Network TUCKER CARLSON TONIGHT
47,74,virus,-0.09030869565217392,Fox News Network TUCKER CARLSON TONIGHT
48,74,china,0.03700000000000004,Fox News Network TUCKER CARLSON TONIGHT
49,74,need,-0.04459999999999997,Fox News Network TUCKER CARLSON TONIGHT
50,74,want,0.4693625,Fox News Network TUCKER CARLSON TONIGHT
51,74,tucker,0.25615714285714286,Fox News Network TUCKER CARLSON TONIGHT
52,74,tonight,-0.02069500000000001,Fox News Network TUCKER CARLSON TONIGHT
53,74,lot,0.10327777777777776,Fox News Network TUCKER CARLSON TONIGHT
54,74,country,-0.022930769230769234,Fox News Network TUCKER CARLSON TONIGHT
55,74,right,0.13242142857142855,Fox News Network TUCKER CARLSON TONIGHT
56,74,things,0.2123923076923077,Fox News Network TUCKER CARLSON TONIGHT
57,74,coronavirus,-0.0808181818181818,Fox News Network TUCKER CARLSON TONIGHT
58,74,way,0.16643478260869565,Fox News Network TUCKER CARLSON TONIGHT
59,74,thanks,0.16643125,Fox News Network TUCKER CARLSON TONIGHT
60,76,president,-0.146285,Fox News Network MEDIA BUZZ
61,76,think,-0.01614062500000001,Fox News Network MEDIA BUZZ
